seed,n_qubits,depth_param,circuit_depth,n_cx,n_single_qubit_gates,total_gates,cx_density,noisy_expectation,zne_expectation,fold1,fold3,fold5,ideal_expectation
51,2,5,10,5,10,15,0.3333333333333333,0.6546666666666666,0.6948888888888888,0.6546666666666666,0.562,0.484,0.7284219582814829
52,2,5,10,5,10,15,0.3333333333333333,0.7833333333333333,0.8217222222222218,0.7833333333333333,0.696,0.6213333333333333,0.8798910214659659
53,2,5,10,5,10,15,0.3333333333333333,-0.48933333333333334,-0.5172777777777776,-0.48933333333333334,-0.44733333333333336,-0.38866666666666666,-0.5512530231081356
54,2,5,10,5,10,15,0.3333333333333333,-0.6653333333333333,-0.7001111111111109,-0.6653333333333333,-0.5846666666666667,-0.5173333333333333,-0.7499207756580121
55,2,5,10,5,10,15,0.3333333333333333,-0.366,-0.38922222222222214,-0.366,-0.324,-0.27666666666666667,-0.39775619634739734
56,2,5,10,5,10,15,0.3333333333333333,0.7666666666666667,0.8025000000000001,0.7666666666666667,0.6933333333333334,0.622,0.8526859648785159
57,2,5,10,5,10,15,0.3333333333333333,-0.03333333333333333,-0.03355555555555555,-0.03333333333333333,-0.024,-0.025333333333333333,-0.019387944436691174
58,2,5,10,5,10,15,0.3333333333333333,0.27466666666666667,0.2893333333333332,0.27466666666666667,0.24533333333333332,0.216,0.26590036853685006
59,2,5,10,5,10,15,0.3333333333333333,0.9026666666666666,0.9472222222222217,0.9026666666666666,0.8146666666666667,0.7253333333333334,1.0000000000000004
60,2,6,12,6,12,18,0.3333333333333333,0.022,0.019166666666666655,0.022,0.019333333333333334,0.02666666666666667,0.045200994199740274
61,2,6,12,6,12,18,0.3333333333333333,-0.18266666666666667,-0.19233333333333333,-0.18266666666666667,-0.17333333333333334,-0.152,-0.18654627912200317
62,2,6,12,6,12,18,0.3333333333333333,-0.10666666666666667,-0.11405555555555551,-0.10666666666666667,-0.09466666666666666,-0.07933333333333334,-0.13633172258352794
63,2,6,12,6,12,18,0.3333333333333333,0.23666666666666666,0.25361111111111106,0.23666666666666666,0.20333333333333334,0.16933333333333334,0.2711912418830279
64,2,6,12,6,12,18,0.3333333333333333,-0.292,-0.3094999999999998,-0.292,-0.252,-0.218,-0.35006886148957184
65,2,6,12,6,12,18,0.3333333333333333,0.6573333333333333,0.6965555555555553,0.6573333333333333,0.5466666666666666,0.4746666666666667,0.7009273386521722
66,2,6,12,6,12,18,0.3333333333333333,0.046,0.04916666666666665,0.046,0.034666666666666665,0.029333333333333333,0.022245883887998752
67,2,6,12,6,12,18,0.3333333333333333,-0.36,-0.3816666666666665,-0.36,-0.30666666666666664,-0.2653333333333333,-0.37988870765731414
68,2,6,12,6,12,18,0.3333333333333333,0.008666666666666666,0.008888888888888887,0.008666666666666666,0.006,0.006,-0.04831976457932202
69,2,6,12,6,12,18,0.3333333333333333,-0.802,-0.8531111111111108,-0.802,-0.6753333333333333,-0.578,-0.8979778127287629
70,2,6,12,6,12,18,0.3333333333333333,-0.6913333333333334,-0.7305555555555552,-0.6913333333333334,-0.604,-0.5273333333333333,-0.7921695470087325
71,2,6,12,6,12,18,0.3333333333333333,0.5,0.5362222222222223,0.5,0.4186666666666667,0.348,0.5314803401160886
72,2,7,14,7,14,21,0.3333333333333333,0.72,0.7778888888888887,0.72,0.6053333333333333,0.48933333333333334,0.8068984448220018
