seed,n_qubits,depth_param,circuit_depth,n_cx,n_single_qubit_gates,total_gates,cx_density,noisy_expectation,zne_expectation,fold1,fold3,fold5,ideal_expectation
35,2,3,6,3,6,9,0.3333333333333333,-0.5726666666666667,-0.6045000000000003,-0.5726666666666667,-0.5006666666666667,-0.43866666666666665,-0.6152434794469119
36,2,4,8,4,8,12,0.3333333333333333,0.20666666666666667,0.21577777777777782,0.20666666666666667,0.184,0.16666666666666666,0.23254395474244238
37,2,4,8,4,8,12,0.3333333333333333,-0.2866666666666667,-0.312388888888889,-0.2866666666666667,-0.228,-0.178,-0.30599594833751353
38,2,4,8,4,8,12,0.3333333333333333,0.029333333333333333,0.029,0.029333333333333333,0.03,0.030666666666666665,-0.0019261985812825122
39,2,4,8,4,8,12,0.3333333333333333,-0.5346666666666666,-0.5616666666666669,-0.5346666666666666,-0.4706666666666667,-0.4186666666666667,-0.5518610161449087
40,2,4,8,4,8,12,0.3333333333333333,0.11066666666666666,0.10166666666666666,0.11066666666666666,0.12533333333333332,0.144,0.12708086158302884
41,2,4,8,4,8,12,0.3333333333333333,-0.632,-0.6614444444444445,-0.632,-0.5586666666666666,-0.5026666666666667,-0.6725741516278385
42,2,4,8,4,8,12,0.3333333333333333,-0.6993333333333334,-0.7466666666666668,-0.6993333333333334,-0.598,-0.5046666666666667,-0.7695188679051971
43,2,4,8,4,8,12,0.3333333333333333,-0.5793333333333334,-0.6113888888888892,-0.5793333333333334,-0.5146666666666667,-0.45066666666666666,-0.6617076926540632
44,2,4,8,4,8,12,0.3333333333333333,0.05733333333333333,0.05538888888888891,0.05733333333333333,0.06066666666666667,0.06466666666666666,0.04136229120898094
45,2,4,8,4,8,12,0.3333333333333333,0.684,0.7041111111111112,0.684,0.6426666666666667,0.6026666666666667,0.7288465906967427
46,2,4,8,4,8,12,0.3333333333333333,0.336,0.3342777777777779,0.336,0.3433333333333333,0.346,0.34925659109124485
47,2,4,8,4,8,12,0.3333333333333333,0.004,-0.0011666666666666696,0.004,0.016,0.026,0.0037805563582877233
48,2,5,10,5,10,15,0.3333333333333333,0.16333333333333333,0.16722222222222227,0.16333333333333333,0.15666666666666668,0.14866666666666667,0.15788482107999374
49,2,5,10,5,10,15,0.3333333333333333,-0.2926666666666667,-0.3147777777777779,-0.2926666666666667,-0.25066666666666665,-0.206,-0.32977828591906994
50,2,5,10,5,10,15,0.3333333333333333,0.07,0.05722222222222226,0.07,0.1,0.12466666666666666,0.038036327623031274
51,2,5,10,5,10,15,0.3333333333333333,0.6553333333333333,0.6841111111111112,0.6553333333333333,0.59,0.534,0.7284219582814829
52,2,5,10,5,10,15,0.3333333333333333,0.822,0.8397222222222224,0.822,0.786,0.7506666666666667,0.8798910214659659
53,2,5,10,5,10,15,0.3333333333333333,-0.5286666666666666,-0.5467777777777778,-0.5286666666666666,-0.488,-0.45266666666666666,-0.5512530231081356
54,2,5,10,5,10,15,0.3333333333333333,-0.652,-0.703666666666667,-0.652,-0.5453333333333333,-0.44266666666666665,-0.7499207756580121
55,2,5,10,5,10,15,0.3333333333333333,-0.38133333333333336,-0.39433333333333337,-0.38133333333333336,-0.3486666666666667,-0.324,-0.39775619634739734
56,2,5,10,5,10,15,0.3333333333333333,0.8006666666666666,0.8254444444444446,0.8006666666666666,0.7466666666666667,0.698,0.8526859648785159
57,2,5,10,5,10,15,0.3333333333333333,0.012,0.0013333333333333294,0.012,0.03666666666666667,0.05733333333333333,-0.019387944436691174
58,2,5,10,5,10,15,0.3333333333333333,0.2853333333333333,0.27733333333333343,0.2853333333333333,0.30133333333333334,0.31733333333333336,0.26590036853685006
59,2,5,10,5,10,15,0.3333333333333333,0.9473333333333334,0.9640555555555556,0.9473333333333334,0.9033333333333333,0.872,1.0000000000000004
60,2,6,12,6,12,18,0.3333333333333333,0.064,0.06572222222222222,0.064,0.06,0.056666666666666664,0.045200994199740274
61,2,6,12,6,12,18,0.3333333333333333,-0.14933333333333335,-0.16644444444444453,-0.14933333333333335,-0.09733333333333333,-0.06666666666666667,-0.18654627912200317
62,2,6,12,6,12,18,0.3333333333333333,-0.108,-0.1227777777777778,-0.108,-0.08066666666666666,-0.050666666666666665,-0.13633172258352794
63,2,6,12,6,12,18,0.3333333333333333,0.268,0.28100000000000014,0.268,0.232,0.208,0.2711912418830279
64,2,6,12,6,12,18,0.3333333333333333,-0.30466666666666664,-0.3200000000000002,-0.30466666666666664,-0.274,-0.24333333333333335,-0.35006886148957184
65,2,6,12,6,12,18,0.3333333333333333,0.62,0.6547777777777781,0.62,0.5226666666666666,0.45866666666666667,0.7009273386521722
66,2,6,12,6,12,18,0.3333333333333333,0.024,0.01677777777777777,0.024,0.044,0.05733333333333333,0.022245883887998752
67,2,6,12,6,12,18,0.3333333333333333,-0.3453333333333333,-0.3726111111111112,-0.3453333333333333,-0.29133333333333333,-0.23666666666666666,-0.37988870765731414
68,2,6,12,6,12,18,0.3333333333333333,-0.048,-0.05988888888888891,-0.048,-0.025333333333333333,-0.0013333333333333333,-0.04831976457932202
69,2,6,12,6,12,18,0.3333333333333333,-0.782,-0.8310555555555561,-0.782,-0.6733333333333333,-0.5773333333333334,-0.8979778127287629
70,2,6,12,6,12,18,0.3333333333333333,-0.7053333333333334,-0.7554444444444444,-0.7053333333333334,-0.5873333333333334,-0.49066666666666664,-0.7921695470087325
71,2,6,12,6,12,18,0.3333333333333333,0.5026666666666667,0.534277777777778,0.5026666666666667,0.43666666666666665,0.374,0.5314803401160886
72,2,7,14,7,14,21,0.3333333333333333,0.7093333333333334,0.7537222222222223,0.7093333333333334,0.5833333333333334,0.502,0.8068984448220018
73,2,7,14,7,14,21,0.3333333333333333,-0.2633333333333333,-0.28438888888888897,-0.2633333333333333,-0.19733333333333333,-0.16,-0.3120342422656275
74,2,7,14,7,14,21,0.3333333333333333,0.58,0.6199444444444444,0.58,0.4806666666666667,0.4046666666666667,0.6602775530169265
75,2,7,14,7,14,21,0.3333333333333333,-0.398,-0.43416666666666687,-0.398,-0.31733333333333336,-0.24666666666666667,-0.48735201853034993
76,2,7,14,7,14,21,0.3333333333333333,-0.2613333333333333,-0.28344444444444455,-0.2613333333333333,-0.19266666666666668,-0.15333333333333332,-0.27303719354878414
77,2,7,14,7,14,21,0.3333333333333333,-0.086,-0.09438888888888891,-0.086,-0.06866666666666667,-0.052,-0.06051608477836107
78,2,7,14,7,14,21,0.3333333333333333,0.5246666666666666,0.5465555555555556,0.5246666666666666,0.47533333333333333,0.43266666666666664,0.5680224232952156
79,2,7,14,7,14,21,0.3333333333333333,0.67,0.6926111111111111,0.67,0.5986666666666667,0.5586666666666666,0.7243595775306187
80,2,7,14,7,14,21,0.3333333333333333,0.438,0.4732222222222224,0.438,0.3586666666666667,0.29,0.5214083263852669
81,2,7,14,7,14,21,0.3333333333333333,-0.07666666666666666,-0.09066666666666671,-0.07666666666666666,-0.04533333333333334,-0.018,-0.09166615719329124
82,2,7,14,7,14,21,0.3333333333333333,-0.13933333333333334,-0.14238888888888895,-0.13933333333333334,-0.12933333333333333,-0.124,-0.16180760213290024
83,2,7,14,7,14,21,0.3333333333333333,0.2773333333333333,0.27072222222222225,0.2773333333333333,0.29,0.30333333333333334,0.2565509741689235
84,2,8,16,8,16,24,0.3333333333333333,0.094,0.10577777777777783,0.094,0.066,0.043333333333333335,0.12277092796375111
85,2,8,16,8,16,24,0.3333333333333333,-0.774,-0.8555000000000004,-0.774,-0.586,-0.428,-0.9038411693824709
86,2,8,16,8,16,24,0.3333333333333333,0.162,0.17583333333333337,0.162,0.12266666666666666,0.09733333333333333,0.19272545564556665
87,2,8,16,8,16,24,0.3333333333333333,-0.044,-0.07505555555555563,-0.044,0.032,0.09133333333333334,-0.09677791729145735
88,2,8,16,8,16,24,0.3333333333333333,0.088,0.08577777777777777,0.088,0.09133333333333334,0.096,0.09558607623589738
89,2,8,16,8,16,24,0.3333333333333333,0.5833333333333334,0.6325000000000003,0.5833333333333334,0.4866666666666667,0.388,0.6418250863686612
90,2,8,16,8,16,24,0.3333333333333333,-0.23533333333333334,-0.26311111111111113,-0.23533333333333334,-0.16533333333333333,-0.11266666666666666,-0.26642870901162097
91,2,8,16,8,16,24,0.3333333333333333,-0.2633333333333333,-0.2915000000000001,-0.2633333333333333,-0.19533333333333333,-0.14133333333333334,-0.33372642082594783
92,2,8,16,8,16,24,0.3333333333333333,0.082,0.08788888888888892,0.082,0.068,0.056666666666666664,0.06392984844238014
93,2,8,16,8,16,24,0.3333333333333333,0.16733333333333333,0.18388888888888896,0.16733333333333333,0.122,0.09133333333333334,0.20035320504599152
94,2,8,16,8,16,24,0.3333333333333333,0.13266666666666665,0.131,0.13266666666666665,0.13933333333333334,0.142,0.11471628902575015
95,2,8,16,8,16,24,0.3333333333333333,0.015333333333333332,0.006777777777777783,0.015333333333333332,0.038,0.054,0.0067396424935934895
96,3,1,3,2,3,5,0.4,0.9693333333333334,0.9735000000000003,0.9693333333333334,0.9593333333333334,0.9513333333333334,1.0
97,3,1,3,2,3,5,0.4,-0.8453333333333334,-0.8604444444444449,-0.8453333333333334,-0.8173333333333334,-0.7866666666666666,-0.9109145851594066
98,3,1,3,2,3,5,0.4,0.572,0.5723888888888891,0.572,0.5706666666666667,0.57,0.5945299452966987
99,3,1,3,2,3,5,0.4,0.9646666666666667,0.9684444444444444,0.9646666666666667,0.9593333333333334,0.9513333333333334,1.0000000000000002
100,3,1,3,2,3,5,0.4,0.96,0.9648888888888891,0.96,0.948,0.9386666666666666,1.0000000000000002
101,3,1,3,2,3,5,0.4,-0.5713333333333334,-0.5843333333333333,-0.5713333333333334,-0.5486666666666666,-0.522,-0.6346168400880621
102,3,1,3,2,3,5,0.4,-0.824,-0.836166666666667,-0.824,-0.7946666666666666,-0.7713333333333333,-0.8577091802339498
103,3,1,3,2,3,5,0.4,0.14933333333333335,0.14433333333333334,0.14933333333333335,0.156,0.16666666666666666,0.16066401049694615
104,3,1,3,2,3,5,0.4,0.9526666666666667,0.9561666666666668,0.9526666666666667,0.944,0.9373333333333334,0.9999999999999996
105,3,1,3,2,3,5,0.4,0.9613333333333334,0.9655000000000001,0.9613333333333334,0.9513333333333334,0.9433333333333334,0.9985606576397977
106,3,1,3,2,3,5,0.4,0.9306666666666666,0.9338333333333334,0.9306666666666666,0.9193333333333333,0.914,0.9679548356353093
107,3,1,3,2,3,5,0.4,-0.946,-0.9621111111111114,-0.946,-0.9226666666666666,-0.8886666666666667,-0.9901899048184175
108,3,2,6,4,6,10,0.4,-0.5733333333333334,-0.600388888888889,-0.5733333333333334,-0.5253333333333333,-0.47,-0.5989742116383194
109,3,2,6,4,6,10,0.4,0.16666666666666666,0.1633333333333333,0.16666666666666666,0.17333333333333334,0.18,0.18563042588659956
110,3,2,6,4,6,10,0.4,-0.662,-0.6859444444444448,-0.662,-0.618,-0.5693333333333334,-0.7109233490169167
111,3,2,6,4,6,10,0.4,0.34,0.3358333333333334,0.34,0.3433333333333333,0.3526666666666667,0.375647745871447
112,3,2,6,4,6,10,0.4,-0.5273333333333333,-0.5401666666666667,-0.5273333333333333,-0.49666666666666665,-0.472,-0.5575385936305637
113,3,2,6,4,6,10,0.4,0.5753333333333334,0.5768333333333336,0.5753333333333334,0.5706666666666667,0.568,0.5833443865416224
114,3,2,6,4,6,10,0.4,0.5686666666666667,0.5691666666666666,0.5686666666666667,0.566,0.5653333333333334,0.6269127703831815
115,3,2,6,4,6,10,0.4,-0.7293333333333333,-0.7590555555555558,-0.7293333333333333,-0.6826666666666666,-0.6206666666666667,-0.7951003424845288
116,3,2,6,4,6,10,0.4,0.7106666666666667,0.7143333333333334,0.7106666666666667,0.7033333333333334,0.696,0.7155947373749063
117,3,2,6,4,6,10,0.4,-0.16066666666666668,-0.16838888888888895,-0.16066666666666668,-0.148,-0.132,-0.17701403827207507
118,3,2,6,4,6,10,0.4,0.856,0.8652777777777777,0.856,0.8413333333333334,0.822,0.8996005476172423
119,3,2,6,4,6,10,0.4,-0.086,-0.10022222222222223,-0.086,-0.058666666666666666,-0.03,-0.11089618486876485
120,3,3,9,6,9,15,0.4,-0.7853333333333333,-0.8159444444444444,-0.7853333333333333,-0.738,-0.674,-0.8467065767068008
121,3,3,9,6,9,15,0.4,0.020666666666666667,0.013444444444444452,0.020666666666666667,0.034,0.048666666666666664,-0.01447735404640571
122,3,3,9,6,9,15,0.4,-0.8986666666666666,-0.9304444444444445,-0.8986666666666666,-0.8273333333333334,-0.7653333333333333,-0.9792728099682374
123,3,3,9,6,9,15,0.4,0.3393333333333333,0.33694444444444455,0.3393333333333333,0.3413333333333333,0.3466666666666667,0.3587881493445858
124,3,3,9,6,9,15,0.4,0.948,0.9624444444444445,0.948,0.918,0.8893333333333333,1.0000000000000004
125,3,3,9,6,9,15,0.4,-0.146,-0.15988888888888889,-0.146,-0.106,-0.08066666666666666,-0.1887120192548602
126,3,3,9,6,9,15,0.4,0.884,0.895777777777778,0.884,0.8626666666666667,0.8386666666666667,0.9337861688251043
127,3,3,9,6,9,15,0.4,0.18133333333333335,0.1742777777777778,0.18133333333333335,0.196,0.21,0.2178654059540338
128,3,3,9,6,9,15,0.4,-0.7933333333333333,-0.8276111111111112,-0.7933333333333333,-0.7353333333333333,-0.6646666666666666,-0.8559150286919375
129,3,3,9,6,9,15,0.4,0.11266666666666666,0.10072222222222219,0.11266666666666666,0.13933333333333334,0.16266666666666665,0.10096259692819241
130,3,3,9,6,9,15,0.4,-0.8866666666666667,-0.918944444444445,-0.8866666666666667,-0.8193333333333334,-0.7553333333333333,-0.9627322889209322
131,3,3,9,6,9,15,0.4,-0.17933333333333334,-0.19372222222222224,-0.17933333333333334,-0.15,-0.12133333333333333,-0.18161215797663732
132,3,4,12,8,12,20,0.4,-0.7786666666666666,-0.798277777777778,-0.7786666666666666,-0.7333333333333333,-0.6953333333333334,-0.8372326191833572
133,3,4,12,8,12,20,0.4,0.6126666666666667,0.6462222222222224,0.6126666666666667,0.5466666666666666,0.47933333333333333,0.6583069455335209
134,3,4,12,8,12,20,0.4,-0.054,-0.06016666666666669,-0.054,-0.04,-0.028,-0.06696193995748825
135,3,4,12,8,12,20,0.4,-0.03333333333333333,-0.041000000000000016,-0.03333333333333333,-0.014666666666666666,0.0,-0.03275514866343504
136,3,4,12,8,12,20,0.4,0.8006666666666666,0.8331666666666667,0.8006666666666666,0.7306666666666667,0.6666666666666666,0.8530900266550085
137,3,4,12,8,12,20,0.4,0.15466666666666667,0.1516111111111111,0.15466666666666667,0.16466666666666666,0.17,0.1548725959634096
138,3,4,12,8,12,20,0.4,0.4053333333333333,0.41566666666666674,0.4053333333333333,0.37133333333333335,0.35333333333333333,0.43513045368017683
139,3,4,12,8,12,20,0.4,-0.17466666666666666,-0.19116666666666676,-0.17466666666666666,-0.14666666666666667,-0.11266666666666666,-0.19006429471779207
140,3,4,12,8,12,20,0.4,-0.626,-0.6483333333333338,-0.626,-0.568,-0.526,-0.6836053997986411
141,3,4,12,8,12,20,0.4,0.5986666666666667,0.6192777777777778,0.5986666666666667,0.548,0.5086666666666667,0.6223134849756785
142,3,4,12,8,12,20,0.4,0.186,0.19283333333333338,0.186,0.17066666666666666,0.15733333333333333,0.22349621223602228
143,3,4,12,8,12,20,0.4,-0.24533333333333332,-0.2606111111111112,-0.24533333333333332,-0.20533333333333334,-0.17666666666666667,-0.2528161103019918
144,3,5,15,10,15,25,0.4,0.04666666666666667,0.03594444444444446,0.04666666666666667,0.072,0.09266666666666666,0.05216769387761794
145,3,5,15,10,15,25,0.4,0.42866666666666664,0.45449999999999996,0.42866666666666664,0.37533333333333335,0.324,0.5020897894495197
146,3,5,15,10,15,25,0.4,0.023333333333333334,0.017833333333333336,0.023333333333333334,0.036,0.04666666666666667,0.024358729346809216
147,3,5,15,10,15,25,0.4,-0.18933333333333333,-0.21955555555555567,-0.18933333333333333,-0.14,-0.07733333333333334,-0.2626582407030882
148,3,5,15,10,15,25,0.4,-0.85,-0.917166666666667,-0.85,-0.734,-0.596,-0.9511202940794349
149,3,5,15,10,15,25,0.4,-0.032,-0.05861111111111114,-0.032,0.020666666666666667,0.074,-0.06874290556482285
150,3,5,15,10,15,25,0.4,0.078,0.07233333333333335,0.078,0.096,0.106,0.08375249332563131
151,3,5,15,10,15,25,0.4,0.378,0.38138888888888894,0.378,0.36733333333333335,0.36133333333333334,0.3945257528629329
152,3,5,15,10,15,25,0.4,-0.20666666666666667,-0.20672222222222233,-0.20666666666666667,-0.206,-0.206,-0.19712548780697264
